CPF_Empregado,Nome,Sexo,Data_de_Nascimento,Funcao,Loja_de_trabalho
334.557.889-87,Carlos Henrique Rodrigues,Masculino,1987-09-07,Gerente,001
443.766.909-13,Maria Felisberto Soares,Feminino,2000-05-15,Gerente,002
778.998.098-01,Leonardo Borges Azevedo,Masculino,2004-09-13,Estoquista,002
112.223.334-45,Joana Silva Santos,Feminino,1995-03-10,Caixa,003
667.889.001-22,Pedro de Souza,Masculino,1990-08-01,Padeiro,004
998.776.554-32,Ana Beatriz Lima,Feminino,1988-07-21,Açogueiro,005
111.222.333-44,Roberto Carlos,Masculino,1992-11-05,Estoquista,006
555.444.333-22,Luana Carvalho,Feminino,1985-12-12,Atendente,007
444.555.666-77,Gabriel Almeida,Masculino,1998-06-30,Caixa,008
999.888.777-66,Camila Ferreira,Feminino,1993-09-12,Gerente,009
